Team,Game_ID,Home,Average Starting Field Position,Big Plays,Median Pass Yards,Median Rush Yards,Number Of Runs,Sacks,Time Of Possession,Total Points
MIN,2009112904,True,27.33333333333333,11.0,6.0,3.5,32.0,1.0,2455.0,36.0
BAL,2009112911,True,22.66666666666667,8.0,1.5,5.0,28.0,5.0,999.0,20.0
NO,2009113000,True,26.0,9.0,6.5,4.0,25.0,1.0,1604.0,38.0
BUF,2009120300,True,30.230769230769226,4.0,0.0,3.0,24.0,3.0,,13.0
ATL,2009120600,True,25.22222222222223,3.0,0.0,2.5,22.0,2.0,1848.0,7.0
MIA,2009120613,True,24.444444444444443,4.0,5.0,3.0,26.0,1.0,1946.0,22.0
WAS,2009120608,True,25.299999999999997,6.0,6.0,3.0,24.0,0.0,1883.0,30.0
PIT,2009120607,True,35.08333333333333,6.0,6.0,3.0,26.0,1.0,1624.0,24.0
KC,2009120606,True,23.91666666666667,2.0,0.0,3.0,26.0,2.0,1445.0,13.0
CAR,2009120601,True,28.75,4.0,5.0,2.5,32.0,1.0,1736.0,16.0
CHI,2009120602,True,18.272727272727266,3.0,0.0,3.0,36.0,2.0,1680.0,17.0
CIN,2009120603,True,38.625,3.0,5.0,3.0,41.0,2.0,2328.0,22.0
IND,2009120604,True,27.599999999999994,5.0,5.0,4.0,25.0,0.0,1623.0,27.0
JAC,2009120605,True,26.875,4.0,0.0,3.0,33.0,4.0,1807.0,23.0
CLE,2009120609,True,32.125,5.0,2.0,4.0,23.0,2.0,1836.0,23.0
SEA,2009120612,True,34.769230769230774,4.0,1.5,3.0,29.0,5.0,1867.0,20.0
NYG,2009120611,True,27.77777777777777,7.0,0.0,3.0,21.0,1.0,1270.0,30.0
ARI,2009120610,True,31.555555555555557,10.0,6.0,2.0,22.0,0.0,1687.0,30.0
GB,2009120700,True,34.0,5.0,5.0,3.0,26.0,1.0,2122.0,27.0
CLE,2009121000,True,32.900000000000006,6.0,0.0,2.0,37.0,1.0,1747.0,13.0
HOU,2009121303,True,34.22222222222223,8.0,7.0,2.5,28.0,0.0,2016.0,33.0
KC,2009121306,True,18.125,6.0,1.0,2.0,26.0,4.0,1712.0,10.0
MIN,2009121307,True,34.8,6.0,2.5,3.0,35.0,2.0,1935.0,30.0
NE,2009121308,True,30.400000000000006,5.0,5.0,4.0,38.0,0.0,2055.0,20.0
TB,2009121309,True,31.08333333333333,1.0,0.0,2.0,19.0,3.0,1550.0,3.0
IND,2009121304,True,22.75,5.0,0.5,3.0,25.0,0.0,1713.0,28.0
JAC,2009121305,True,23.875,3.0,0.0,3.0,25.0,3.0,1494.0,10.0
CHI,2009121302,True,22.888888888888886,5.0,2.0,3.0,16.0,3.0,1718.0,14.0
BAL,2009121301,True,31.33333333333333,12.0,7.0,3.0,39.0,0.0,1785.0,48.0
ATL,2009121300,True,23.14285714285714,9.0,6.0,4.0,21.0,1.0,1396.0,23.0
TEN,2009121310,True,24.25,8.0,4.5,2.0,29.0,0.0,1683.0,46.0
OAK,2009121311,True,31.0,3.0,0.0,2.5,24.0,8.0,,13.0
